Motivo del viaje	Tipo de dato	Periodo	Total
Total	Dato base	2021M09	4.691.486
Total	Dato base	2021M08	5.194.212
Total	Dato base	2021M07	4.395.384
Total	Dato base	2021M06	2.215.710
Total	Dato base	2021M05	1.363.624
Total	Dato base	2021M04	630.647
Total	Dato base	2021M03	490.088
Total	Dato base	2021M02	284.311
Total	Dato base	2021M01	434.362
Total	Dato base	2020M12	648.989
Total	Dato base	2020M11	456.814
Total	Dato base	2020M10	1.020.773
Total	Dato base	2020M09	1.138.868
Total	Dato base	2020M08	2.440.978
Total	Dato base	2020M07	2.464.779
Total	Dato base	2020M06	204.272
Total	Dato base	2020M05	0
Total	Dato base	2020M04	0
Total	Dato base	2020M03	1.997.262
Total	Dato base	2020M02	4.427.344
Total	Dato base	2020M01	4.133.024
Total	Dato base	2019M12	4.304.741
Total	Dato base	2019M11	4.655.021
Total	Dato base	2019M10	7.587.749
Total	Dato base	2019M09	8.845.152
Total	Dato base	2019M08	10.118.366
Total	Dato base	2019M07	9.873.270
Total	Dato base	2019M06	8.833.893
Total	Dato base	2019M05	7.919.204
Total	Dato base	2019M04	7.146.033
Total	Dato base	2019M03	5.649.577
Total	Dato base	2019M02	4.380.504
Total	Dato base	2019M01	4.195.641
Total	Dato base	2018M12	4.354.798
Total	Dato base	2018M11	4.536.873
Total	Dato base	2018M10	7.649.860
Total	Dato base	2018M09	8.932.308
Total	Dato base	2018M08	10.175.761
Total	Dato base	2018M07	10.020.246
Total	Dato base	2018M06	8.554.306
Total	Dato base	2018M05	8.086.048
Total	Dato base	2018M04	6.780.378
Total	Dato base	2018M03	5.393.186
Total	Dato base	2018M02	4.218.047
Total	Dato base	2018M01	4.106.601
Total	Dato base	2017M12	3.982.530
Total	Dato base	2017M11	4.392.575
Total	Dato base	2017M10	7.269.931
Total	Dato base	2017M09	8.877.270
Total	Dato base	2017M08	10.397.745
Total	Dato base	2017M07	10.493.438
Total	Dato base	2017M06	8.431.975
Total	Dato base	2017M05	8.002.648
Total	Dato base	2017M04	7.081.594
Total	Dato base	2017M03	4.913.943
Total	Dato base	2017M02	4.119.137
Total	Dato base	2017M01	3.905.736
Total	Dato base	2016M12	3.990.446
Total	Dato base	2016M11	4.098.262
Total	Dato base	2016M10	7.137.723
Total	Dato base	2016M09	7.932.607
Total	Dato base	2016M08	10.027.471
Total	Dato base	2016M07	9.545.792
Total	Dato base	2016M06	7.552.758
Total	Dato base	2016M05	7.111.154
Total	Dato base	2016M04	6.086.327
Total	Dato base	2016M03	4.627.206
Total	Dato base	2016M02	3.678.726
Total	Dato base	2016M01	3.526.537
Total	Dato base	2015M12	3.512.914
Total	Dato base	2015M11	3.754.802
Total	Dato base	2015M10	6.432.341
Total	Tasa de variación anual	2021M09	311,94
Total	Tasa de variación anual	2021M08	112,79
Total	Tasa de variación anual	2021M07	78,33
Total	Tasa de variación anual	2021M06	984,69
Total	Tasa de variación anual	2021M05	..
Total	Tasa de variación anual	2021M04	..
